air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure
301.76,307.75,1553.01,42.51,22.09,0
300.27,311.75,1427.01,48.47,26.78,0
300.0,308.49,1575.94,37.48,224.33,1
296.39,308.14,1440.25,32.97,62.58,0
301.58,313.8,1448.05,39.46,226.75,0
299.51,308.27,1436.13,51.3,30.03,0
310.47,321.65,1635.72,33.03,245.98,1
307.87,316.54,1466.33,43.9,208.34,1
301.93,308.24,1664.69,46.95,29.06,1
296.18,306.43,1714.02,25.81,21.51,0
294.44,303.5,1411.35,42.46,200.86,0
305.96,315.08,1149.48,43.62,19.52,0
301.31,315.26,1625.34,38.4,65.55,0
302.4,309.35,1458.96,36.12,200.31,1
291.28,302.04,1396.06,36.46,226.9,1
304.64,312.65,1429.35,38.03,191.91,1
302.27,314.09,1450.22,38.19,222.47,1
294.45,305.04,1655.66,37.06,139.97,1
297.64,308.4,1519.19,37.93,194.9,1
301.32,309.43,1654.03,47.14,86.05,1
300.26,308.73,1559.31,32.71,196.3,1
298.54,310.39,1462.89,29.51,169.94,0
299.48,313.02,1453.16,47.24,143.71,1
298.74,309.7,1567.39,38.85,248.08,1
300.76,308.97,1598.45,37.67,117.44,0
307.36,318.04,1619.62,39.33,154.81,1
287.17,302.02,1468.62,41.26,127.48,0
298.82,309.02,1521.02,36.86,65.13,0
300.88,313.81,1570.08,43.04,82.59,0
301.48,310.0,1453.92,34.23,244.7,1
298.14,308.06,1363.81,38.19,98.03,0
291.22,302.46,1403.25,26.71,169.85,0
301.64,312.43,1471.08,47.03,141.77,1
308.64,317.1,1579.46,38.94,222.45,1
292.33,300.71,1651.08,44.02,189.42,1
304.32,316.3,1337.27,42.86,20.16,0
298.36,310.74,1428.32,43.3,88.86,0
299.69,312.72,1457.06,39.95,177.98,1
294.74,308.34,1595.37,42.33,40.34,0
298.33,308.6,1436.63,34.23,125.86,0
306.5,315.88,1448.43,32.97,79.44,0
302.91,315.62,1330.56,39.39,16.19,0
308.66,320.09,1558.01,35.92,249.29,1
305.89,313.92,1480.63,48.55,232.34,1
302.2,310.13,1421.51,42.25,186.88,0
308.72,319.7,1468.86,35.7,50.26,1
302.19,311.84,1635.24,38.37,247.13,1
304.14,314.09,1379.41,40.8,157.7,1
298.52,310.66,1399.0,39.59,241.52,1
300.33,311.85,1650.27,41.63,10.64,0
296.51,309.17,1509.09,40.41,43.37,0
304.95,311.08,1580.37,31.66,169.31,0
294.11,304.62,1548.21,27.09,226.79,0
303.91,315.3,1495.76,37.76,43.95,0
299.05,305.99,1458.2,43.36,79.27,0
305.86,314.55,1599.79,37.83,147.04,1
303.75,312.07,1639.48,47.42,249.92,1
309.1,319.15,1630.1,39.72,199.92,1
303.65,316.91,1357.74,48.14,230.89,1
292.14,306.18,1656.59,46.91,168.75,1
299.67,308.04,1457.05,46.31,219.34,1
294.14,305.19,1409.4,32.78,126.76,0
297.41,308.53,1479.68,40.1,31.04,0
307.56,318.33,1599.74,47.34,177.39,1
303.19,313.99,1564.86,41.63,150.37,1
296.51,307.11,1469.35,43.33,121.34,0
294.93,308.31,1600.52,31.67,68.75,0
300.16,312.37,1516.78,51.51,196.05,1
293.92,301.8,1431.24,35.25,205.1,0
296.64,308.24,1415.04,28.03,91.05,0
301.56,313.34,1549.23,37.89,231.94,1
305.78,316.41,1490.1,25.32,92.44,0
303.04,315.31,1334.94,33.49,26.89,0
288.54,298.92,1601.66,55.35,41.63,0
301.52,311.92,1442.37,37.72,123.63,1
300.36,310.6,1691.05,31.43,19.97,0
302.07,308.03,1331.64,40.15,179.6,1
308.08,317.92,1478.31,34.61,198.77,1
289.68,298.35,1416.0,45.19,137.37,0
297.04,304.67,1382.95,34.66,223.34,0
302.95,315.82,1441.59,41.62,238.57,1
292.09,303.1,1712.47,33.12,111.9,1
307.38,317.32,1517.2,55.59,22.28,1
301.84,310.71,1405.0,43.02,57.82,0
304.23,314.83,1280.56,39.13,164.4,0
297.15,309.13,1293.44,38.24,101.45,0
304.07,312.41,1435.62,36.68,171.25,0
305.34,315.33,1423.96,35.43,166.68,0
301.16,312.9,1473.11,35.27,151.34,0
301.17,307.3,1227.34,50.07,39.46,0
301.35,311.24,1489.0,36.68,71.48,0
295.68,304.82,1623.33,27.22,94.47,0
299.26,308.99,1694.74,33.0,206.1,1
299.24,308.23,1272.67,45.57,170.56,0
301.92,312.19,1403.83,38.49,161.23,0
305.0,318.85,1397.49,39.2,168.03,0
294.71,304.06,1517.49,47.02,125.8,0
299.37,309.96,1353.63,35.34,9.91,0
307.41,321.4,1701.87,43.79,50.28,1
296.28,305.18,1505.22,35.99,35.08,0
295.89,309.52,1485.22,43.46,16.0,0
301.01,311.02,1691.13,37.65,79.87,0
304.22,317.79,1498.07,38.55,196.93,1
300.06,311.56,1548.04,44.92,28.78,0
306.64,317.26,1409.9,44.49,27.86,0
304.28,314.15,1335.54,39.01,31.07,0
304.21,312.96,1426.76,37.17,67.46,0
302.77,312.92,1762.44,49.59,50.55,1
311.64,323.43,1575.96,43.54,3.49,0
298.97,308.95,1532.94,37.65,69.13,0
289.98,299.35,1382.84,36.08,249.07,1
308.02,317.52,1609.35,46.15,84.12,0
297.71,309.7,1337.08,40.69,52.81,0
300.54,312.99,1311.95,39.02,123.93,0
306.55,315.21,1432.93,40.69,57.34,0
291.99,300.65,1734.54,42.03,139.91,1
293.74,304.5,1727.75,39.66,100.16,1
291.99,305.05,1445.85,47.22,224.21,1
296.03,308.32,1419.1,47.56,231.98,0
302.2,309.69,1303.16,43.19,178.27,0
302.62,312.09,1509.36,48.25,53.92,0
301.38,309.52,1519.44,40.05,118.47,0
292.94,302.4,1594.75,44.14,76.36,0
288.45,301.66,1609.28,46.03,199.57,1
300.27,307.43,1476.31,46.11,7.29,0
297.64,304.4,1566.72,45.5,165.62,1
302.3,310.64,1415.92,43.79,80.81,0
303.51,314.08,1564.45,51.74,120.25,0
300.69,311.93,1439.13,36.76,80.75,0
303.8,314.68,1555.14,39.07,91.2,1
301.15,313.5,1545.42,38.71,168.59,1
302.65,309.12,1508.26,37.79,148.87,0
296.48,308.85,1595.34,28.07,61.02,0
299.1,308.48,1311.55,48.25,10.91,0
300.98,312.45,1372.21,33.84,214.01,0
304.1,311.46,1467.59,41.02,123.08,1
298.03,308.04,1326.81,31.47,154.68,0
302.61,313.08,1451.18,43.72,122.12,0
298.67,310.98,1455.04,35.29,154.74,0
299.41,306.24,1657.16,33.18,156.74,1
304.15,314.21,1517.1,41.17,3.76,0
290.03,297.86,1623.53,35.8,133.31,0
293.52,304.53,1536.2,36.56,125.53,0
292.59,304.14,1435.72,41.03,23.95,0
288.33,300.91,1516.05,44.8,186.47,1
296.61,305.54,1587.53,35.09,58.96,0
303.75,315.6,1643.21,34.05,13.63,0
298.58,311.3,1484.12,40.14,200.79,1
300.99,307.7,1302.3,43.24,216.28,0
305.45,316.67,1293.86,48.78,60.17,0
306.64,318.56,1460.83,33.57,171.89,0
299.65,309.14,1219.45,38.09,1.24,0
306.77,314.35,1715.41,47.05,180.29,1
300.46,312.35,1571.63,51.84,116.21,1
295.81,303.41,1423.72,34.04,198.12,1
297.03,306.67,1366.84,35.57,98.26,0
292.6,302.52,1623.37,42.29,87.77,0
295.56,306.99,1366.36,36.53,210.2,1
298.21,306.96,1377.81,35.44,9.66,0
304.02,312.65,1408.09,41.47,46.79,0
308.6,318.8,1513.69,49.3,103.03,1
293.09,305.1,1574.5,32.14,149.08,0
301.96,316.54,1643.12,48.99,1.28,1
294.8,301.78,1625.4,36.55,143.79,0
302.37,313.0,1500.09,42.07,94.62,0
299.34,307.17,1622.46,49.55,157.5,1
290.85,302.88,1419.48,41.95,226.74,1
304.64,312.76,1281.5,38.22,110.22,0
296.97,305.63,1419.46,44.31,138.64,0
297.33,306.15,1403.25,38.96,115.7,0
294.65,304.5,1424.16,43.13,29.63,0
296.73,307.37,1384.88,38.77,198.28,1
302.14,313.11,1444.67,45.17,221.3,1
299.05,309.04,1574.4,31.63,202.87,1
301.64,308.98,1705.83,33.92,236.9,1
301.81,313.27,1292.96,31.55,117.01,0
306.6,316.5,1345.47,39.66,163.08,1
298.29,310.61,1405.03,30.82,42.09,0
292.62,301.2,1591.89,35.85,244.2,1
305.34,312.13,1475.41,33.35,145.14,0
298.34,308.27,1413.11,48.88,65.42,0
305.57,318.16,1586.01,34.06,201.34,1
301.92,312.24,1614.77,32.28,146.62,1
299.34,308.94,1497.75,41.49,237.42,1
301.74,310.0,1402.05,50.12,192.49,1
309.76,323.27,1532.43,39.3,219.32,1
310.38,318.33,1472.01,39.77,136.66,1
300.35,308.9,1471.08,47.74,129.33,1
300.8,311.94,1438.51,45.27,189.33,1
305.38,311.67,1611.0,42.55,26.25,0
295.77,308.32,1529.99,36.51,13.51,0
301.67,312.91,1624.28,42.74,245.93,1
299.87,311.67,1660.36,31.84,229.07,1
301.57,312.69,1555.08,36.26,238.92,1
295.83,305.51,1439.22,48.59,15.59,0
292.05,299.93,1624.84,47.81,67.33,0
289.64,299.35,1555.88,42.62,225.39,1
294.41,302.46,1812.4,28.42,22.37,0
297.71,308.68,1537.21,32.75,112.86,0
298.53,310.15,1583.72,35.92,85.32,1
309.69,322.64,1534.85,38.97,219.96,1
305.53,316.27,1488.11,32.5,129.52,1
295.19,307.04,1468.95,38.52,72.59,0
301.74,311.14,1535.31,50.6,131.08,1
297.96,307.01,1562.54,42.41,28.11,0
298.58,309.53,1638.53,41.31,182.8,1
300.93,310.15,1537.06,33.89,154.58,0
303.1,313.63,1444.45,30.17,150.18,0
298.3,306.18,1460.78,32.63,109.46,0
305.32,313.56,1341.25,29.92,73.56,0
294.29,305.56,1699.35,40.45,16.35,0
300.03,311.81,1435.06,42.3,236.76,1
312.99,321.02,1616.09,34.21,104.14,1
301.12,312.46,1533.19,40.89,123.98,0
307.17,316.1,1536.45,48.81,93.94,1
300.46,310.49,1485.91,51.75,246.97,1
302.9,315.74,1405.46,44.62,199.04,1
299.72,311.33,1383.78,38.95,23.94,0
299.15,310.74,1707.42,44.43,152.04,1
296.1,309.92,1513.68,48.11,121.16,0
302.15,310.74,1635.03,27.96,198.34,1
295.74,303.77,1666.19,48.89,249.33,1
303.33,311.88,1450.7,36.73,186.08,1
305.43,314.92,1550.82,36.79,216.23,1
301.83,307.12,1505.4,37.87,125.66,1
298.57,308.15,1361.13,41.92,93.4,0
302.27,311.18,1477.74,33.33,160.82,0
298.46,310.02,1570.5,38.29,187.35,1
304.68,315.38,1440.12,43.15,56.88,0
290.84,299.64,1461.02,41.31,125.85,0
298.32,309.5,1479.2,42.28,28.45,0
290.05,301.49,1753.38,38.06,54.09,0
292.52,300.99,1279.91,44.16,220.46,0
306.82,315.83,1560.2,46.34,36.18,0
304.48,310.03,1469.6,45.98,202.84,1
296.4,304.22,1423.12,42.57,93.15,0
292.49,301.0,1466.65,45.63,165.88,1
285.18,295.33,1580.09,45.23,227.58,1
297.28,305.39,1586.94,56.06,195.22,1
312.1,321.08,1522.32,47.31,206.49,1
302.17,309.72,1631.13,39.47,65.29,0
297.2,307.54,1652.26,34.53,90.42,1
302.33,313.18,1597.97,38.43,183.2,1
292.2,303.0,1434.46,38.01,194.31,1
298.51,308.54,1559.33,43.07,197.51,0
300.5,307.42,1559.9,35.8,185.03,0
299.57,308.33,1402.12,47.15,57.91,0
303.95,313.14,1311.67,31.66,72.27,0
301.72,310.92,1257.27,30.2,235.51,1
303.34,313.49,1508.38,39.19,138.47,0
296.56,309.41,1535.76,34.94,188.61,1
304.49,316.11,1358.19,32.45,149.8,0
308.14,316.17,1625.52,36.18,231.13,1
295.15,306.51,1518.27,35.43,217.2,1
295.56,306.84,1661.93,40.06,65.34,0
306.68,315.07,1544.46,36.28,221.18,1
299.04,310.74,1372.04,36.77,75.01,0
307.02,316.7,1554.99,39.97,110.25,1
297.79,304.97,1580.41,46.09,212.81,1
307.28,318.19,1434.29,48.82,81.0,1
300.66,311.09,1326.95,40.89,72.69,0
301.29,310.84,1512.04,41.35,167.16,1
307.82,317.75,1379.9,38.9,249.92,1
298.19,306.75,1634.51,42.89,32.76,0
295.29,306.51,1451.14,42.34,175.27,1
297.76,307.67,1706.95,47.96,131.74,1
302.26,312.59,1245.1,28.67,102.65,0
292.17,302.89,1516.18,38.59,187.46,1
303.19,310.88,1671.53,42.04,138.71,1
297.31,305.52,1393.16,39.84,199.45,1
305.74,311.32,1480.9,34.36,185.96,1
288.03,299.16,1451.64,32.2,246.28,1
296.07,303.64,1417.95,44.84,202.72,1
291.57,301.83,1529.35,35.46,16.7,0
295.87,306.61,1344.55,29.47,194.89,0
301.24,312.44,1486.68,45.14,162.43,1
299.1,306.7,1561.92,42.75,22.45,0
298.73,308.6,1474.19,39.3,151.37,0
299.2,312.54,1379.98,34.51,187.7,0
301.02,314.45,1623.62,39.32,49.3,0
294.96,306.93,1587.63,47.29,108.73,0
303.53,314.21,1375.06,30.31,135.62,1
303.31,311.3,1344.71,30.62,103.29,0
301.93,313.36,1385.77,36.23,219.0,0
302.78,312.47,1565.43,39.84,42.23,0
301.48,312.6,1533.07,37.02,192.89,1
310.18,318.91,1594.81,43.86,194.52,1
299.56,309.22,1460.86,46.53,112.01,0
298.46,308.79,1389.03,41.67,134.87,0
296.23,306.72,1610.26,43.36,38.39,0
294.84,305.83,1433.59,41.63,48.79,0
293.78,302.62,1522.39,40.06,132.92,0
295.56,302.87,1314.01,32.24,56.17,0
299.65,312.9,1431.62,33.83,201.62,0
301.67,316.65,1621.13,31.89,154.05,1
300.26,311.15,1414.05,39.11,14.14,0
296.17,303.52,1597.74,41.39,89.47,1
304.5,312.95,1220.28,31.3,214.61,0
303.7,314.72,1432.87,40.44,69.36,0
299.2,311.88,1479.44,34.75,179.93,0
296.74,304.31,1709.1,33.58,23.45,1
302.74,312.49,1359.71,36.25,232.63,1
300.94,311.33,1580.52,33.28,112.34,1
292.76,304.49,1626.83,43.64,122.89,1
299.66,308.97,1413.42,38.99,142.46,0
301.31,308.18,1455.18,44.89,90.86,0
295.5,306.74,1517.0,37.34,181.32,0
300.95,313.2,1322.22,37.57,3.65,0
292.73,302.56,1445.39,51.24,40.55,0
306.68,317.49,1653.13,30.26,47.21,1
306.24,315.29,1562.72,47.71,158.84,1
298.74,307.05,1481.19,49.93,222.65,1
301.82,313.87,1513.57,44.59,15.91,0
287.95,298.73,1569.71,38.02,213.11,1
294.22,305.2,1592.69,48.56,204.88,1
298.53,311.54,1433.23,38.07,19.16,0
294.64,302.53,1684.17,35.77,35.81,0
303.57,312.47,1657.96,37.67,87.51,1
309.99,320.3,1581.27,36.58,28.67,0
294.12,302.99,1398.84,34.32,189.57,1
295.81,307.38,1377.57,46.66,126.02,0
301.18,310.8,1460.81,35.36,102.69,0
308.06,316.07,1507.29,39.82,181.24,1
293.89,304.02,1287.78,31.34,73.22,0
301.25,311.59,1559.36,40.18,217.88,1
309.11,320.98,1654.5,33.06,163.49,1
291.74,302.53,1569.18,32.92,86.63,0
293.59,304.52,1418.87,39.34,134.97,0
297.88,308.52,1404.67,46.34,64.86,0
297.4,307.02,1535.98,42.64,246.25,1
304.06,312.63,1481.6,43.05,108.9,1
301.21,311.79,1553.16,39.22,224.19,1
291.13,300.46,1572.21,37.99,244.51,1
302.58,315.96,1631.03,44.75,133.95,1
297.11,309.8,1364.15,36.62,182.5,1
306.37,317.64,1526.59,45.01,143.06,1
296.86,307.62,1456.38,47.42,22.89,0
296.82,306.64,1488.16,34.95,238.1,1
